Atividade, Total, Homem , Mulher, Ano
Total,  7 364 ,  8 280 ,  5 709,2014
" AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  7 349 ,  7 025 ,  10 911 ,2014
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 462 ,  8 168 ,  5 658 ,2014
" ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  8 170 ,  8 859 ,  5 123 ,2014
CONSTRUÇÃO,  8 695 ,  9 105 ,  6 349 ,2014
 COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 080 ,  7 052 ,  4 146 ,2014
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 254 ,  7 459 ,  6 761 ,2014
INFORMAÇÃO E COMUNICAÇÃO,  10 422 ,  11 572 ,  8 077 ,2014
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  8 885 ,  10 152 ,  7 342 ,2014
ATIVIDADES IMOBILIÁRIAS,  9 430 ,  12 189 ,  4 925 ,2014
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  9 474 ,  12 052 ,  6 493 ,2014
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 717 ,  8 442 ,  4 528 ,2014
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  7 025 ,  7 472 ,  6 248 ,2014
EDUCAÇÃO,  6 119 ,  7 299 ,  5 547 ,2014
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  9 434 ,  12 638 ,  5 993 ,2014

