Atividade, Total, Homem, Mulher, Ano
Total,  7 450 ,  8 372 ,  5 854, 2015
" AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  5 782 ,  5 485 ,  8 269, 2015
" INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 525 ,  8 274 ,  5 445 , 2015
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  4 754 ,  4 565 ,  5 736 , 2015
CONSTRUÇÃO,  9 803 ,  10 704 ,  4 589 , 2015
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 952 ,  6 750 ,  4 727 , 2015
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 621 ,  8 369 ,  4 197 , 2015
INFORMAÇÃO E COMUNICAÇÃO,  12 342 ,  13 836 ,  8 233 , 2015
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 875 ,  11 497 ,  7 543 , 2015
ATIVIDADES IMOBILIÁRIAS,  8 084 ,  9 263 ,  6 550 , 2015
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  10 076 ,  12 667 ,  7 240 , 2015
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 172 ,  6 916 ,  4 904 , 2015
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 770 ,  7 078 ,  6 290 , 2015
EDUCAÇÃO,  6 802 ,  8 425 ,  5 909 , 2015
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 417 ,  7 828 ,  5 592 , 2015
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 251 ,  4 859 ,  5 625 , 2015
